title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Jablonica, (Inštitút dentálnej medicíny s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-jablonica-institut-dentalnej-mediciny.html?page_id=143521, Zubné lekárstvo,Trnavský,Senica
"Ambulancia dentálnej hygieny, Šaštín-Stráže, (Bc. Lucia Holúbková)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-dentalnej-hygieny-sastin-straze-bc.-lucia-holubkova.html?page_id=143110, Dentálna hygiena,Trnavský,Senica
"Ambulancia klinickej psychológie, Jablonica, (Mgr. Marcela Polakovičová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-klinickej-psychologie-jablonica-mgr.-marcela-polakovicova.html?page_id=142709, Klinická psychológia,Trnavský,Senica
"Kardiologická ambulancia, MUDr. Daniel Vranec, Senica, (DV-kardio s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/kardiologicka-ambulancia-mudr.-daniel-vranec-senica-dv-kardio-s.-r.-o..html?page_id=142569, Kardiológia,Trnavský,Senica
"Všeobecná ambulancia pre deti a dorast, Jablonica, (MEDA DVA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-deti-a-dorast-jablonica-meda-dva.html?page_id=141969," Všeobecná starostlivosť o deti a dorast, Dorastové lekárstvo",Trnavský,Senica
"SVaLZ, rádiológia, Senica, (ROSSON, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-radiologia-senica-rosson-s.-r.-o..html?page_id=140573, Rádiológia,Trnavský,Senica
"Ambulancia zubného lekárstva, Dojč, (Inštitút dentálnej medicíny s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-dojc-institut-dentalnej-mediciny.html?page_id=140438, Zubné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (DeKa - dent, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-deka-dent.html?page_id=140345, Zubné lekárstvo,Trnavský,Senica
"Ambulancia čeľustnej ortopédie, Senica, (DeKa - dent, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-celustnej-ortopedie-senica-deka-dent.html?page_id=140346, čeľustná ortopédia,Trnavský,Senica
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Senica, (Poliklinika Senica n.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-senica-poliklinika-senica-n.o..html?page_id=139824," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Senica
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Senica, (Poliklinika Senica n.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-senica-poliklinika-senica-n.o..html?page_id=139823," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Senica
"Dermatovenerologická ambulancia, Senica, (Right Path s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/dermatovenerologicka-ambulancia-senica-right-path.html?page_id=136180, Dermatovenerológia,Trnavský,Senica
"Stacionár, všeobecné lekárstvo, Senica, (MUDr. Ján Potúček)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/stacionar-vseobecne-lekarstvo-senica-mudr.-jan-potucek.html?page_id=135029, Všeobecné lekárstvo,Trnavský,Senica
"Dental Factory s.r.o., Senica, (Dental Factory s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/dental-factory-senica-dental-factory-s.-r.-o..html?page_id=134989, Zubné lekárstvo,Trnavský,Senica
"Ambulancia rýchlej lekárskej pomoci, Senica, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-rychlej-lekarskej-pomoci-senica-lse-life-star-emergency.html?page_id=134826, Rýchla lekárska pomoc,Trnavský,Senica
"DENZITOMETRIA, Senica, (Mediekos Labor, s.r.o. - organizačná zložka zahraničnej osoby)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/denzitometria-senica-mediekos-labor-organizacna-zlozka-zahranicnej-osoby.html?page_id=134812, Ortopédia,Trnavský,Senica
"Stacionár, všeobecné lekárstvo, Senica, (MUDr. Danka Pražienková s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/stacionar-vseobecne-lekarstvo-senica-mudr.-danka-prazienkova-s.-r.-o..html?page_id=134765, Všeobecné lekárstvo,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Senica, (MUDr. Danka Pražienková s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-senica-mudr.-danka-prazienkova-s.-r.-o..html?page_id=134766, Všeobecné lekárstvo,Trnavský,Senica
"Ambulancia rýchlej zdravotnej pomoci, Moravský Svätý Ján, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-rychlej-zdravotnej-pomoci-moravsky-svaty-jan-lse-life-star-emergency.html?page_id=134761, Rýchla zdravotná pomoc,Trnavský,Senica
"Endokrinologická ambulancia, Senica, (ENDOMEDI s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/endokrinologicka-ambulancia-senica-endomedi.html?page_id=134705, Endokrinológia,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Senica, (MUDr. Veronika Brenkus Steinerová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-senica-mudr.-veronika-brenkus-steinerova.html?page_id=132987, Všeobecné lekárstvo,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Dojč, (MUDr. Veronika Brenkus Steinerová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-dojc-mudr.-veronika-brenkus-steinerova.html?page_id=132988, Všeobecné lekárstvo,Trnavský,Senica
"Dispečing dopravnej zdravotnej služby, Senica, (EMOTRANS, spol. s r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/dispecing-dopravnej-zdravotnej-sluzby-senica-emotrans-spol.-s-r.o..html?page_id=132920,,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Senica, (MUDr. Martin Ziman)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-senica-mudr.-martin-ziman.html?page_id=132302,!,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Senica, (MUDr. Martin Ziman)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-senica-mudr.-martin-ziman-1.html?page_id=132301,!,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (JORDENT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-jordent.html?page_id=132299, Zubné lekárstvo,Trnavský,Senica
"Ambulancia pediatrickej endokrinológie a diabetológie a porúch látkovej premeny a výživy, Senica, (MEDMARKO, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-pediatrickej-endokrinologie-a-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-senica-medmarko.html?page_id=132290," Pediatrická endokrinológia a diabetológia, poruchy látkovej premeny a výživy",Trnavský,Senica
"Ambulancia zubného lekárstva, MDDr. Rastislav Kostelný, Senica, (Nice Smile s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-mddr.-rastislav-kostelny-senica-nice-smile.html?page_id=132270, Zubné lekárstvo,Trnavský,Senica
"SVaLZ, fyzioterapia, Senica, (Mgr. Daniel Krutý)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-fyzioterapia-senica-mgr.-daniel-kruty.html?page_id=131568, Fyzioterapia,Trnavský,Senica
"Gynekologická ambulancia, Senica, (Gynekológia - MUDr. Borodáč, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/gynekologicka-ambulancia-senica-gynekologia-mudr.-borodac.html?page_id=131077, Gynekológia a pôrodníctvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Kúty, (EuroDent s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-kuty-eurodent.html?page_id=129999, Zubné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (ORGO- DENT s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-orgo-dent.html?page_id=129774, Zubné lekárstvo,Trnavský,Senica
"Ambulancia vnútorného lekárstva, Borský Mikuláš, (Lekáreň J-pharm s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-vnutorneho-lekarstva-borsky-mikulas-lekaren-j-pharm.html?page_id=129748, Vnútorné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (BEVE DENT s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-beve-dent.html?page_id=129558, Zubné lekárstvo,Trnavský,Senica
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Borský Mikuláš, (Rehabilitačné centrum, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-borsky-mikulas-rehabilitacne-centrum.html?page_id=128197," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Senica
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Borský Mikuláš, (Rehabilitačné centrum, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-borsky-mikulas-rehabilitacne-centrum.html?page_id=128187," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Senica
"Neurologická ambulancia, Senica, (MUDr. Peter Valášek)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/neurologicka-ambulancia-senica-mudr.-peter-valasek.html?page_id=126461,!,Trnavský,Senica
"SVaLZ, fyzioterapia, Jablonica, (Mgr. Daniel Krutý)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-fyzioterapia-jablonica-mgr.-daniel-kruty.html?page_id=126362, Fyzioterapia,Trnavský,Senica
"Ambulancia zubného lekárstva, Jablonica, (EuroDent s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-jablonica-eurodent.html?page_id=126308, Zubné lekárstvo,Trnavský,Senica
"Jednodňová zdravotná starostlivosť, gastroenterológia, Senica, (SYMED s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/jednodnova-zdravotna-starostlivost-gastroenterologia-senica-symed.html?page_id=125674, Gastroenterológia,Trnavský,Senica
"Všeobecná ambulancia pre dospelých, Šaštín-Stráže, (MUDr. Marek Tejral)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/vseobecna-ambulancia-pre-dospelych-sastin-straze-mudr.-marek-tejral.html?page_id=124631, Všeobecné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (DENTAL BB s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-dental-bb.html?page_id=124608, Zubné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, MDDr. Katarína Miklošová, Borský Mikuláš, (MK-manim, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-mddr.-katarina-miklosova-borsky-mikulas-mk-manim-s.-r.-o..html?page_id=124102, Zubné lekárstvo,Trnavský,Senica
"Ambulancia čeľustnej ortopédie, Senica, (MUDr. Jana Gašparová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-celustnej-ortopedie-senica-mudr.-jana-gasparova.html?page_id=122497, čeľustná ortopédia,Trnavský,Senica
"Ambulancia akupunktúry, Šaštín-Stráže, (GynAc, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-akupunktury-sastin-straze-gynac.html?page_id=120854, Akupunktúra,Trnavský,Senica
"Ambulancia detskej psychiatrie, Senica, (MUDr. Viera Mikolajová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-detskej-psychiatrie-senica-mudr.-viera-mikolajova.html?page_id=120134, Detská psychiatria,Trnavský,Senica
"Ambulancia klinickej imunológie a alergológie, Senica, (PEDOALERGO, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-klinickej-imunologie-a-alergologie-senica-pedoalergo.html?page_id=120048, Klinická imunológia a alergológia,Trnavský,Senica
"Ambulancia pediatrickej kardiológie, Senica, (MUDr. Zdeněk Šúlek)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-pediatrickej-kardiologie-senica-mudr.-zdenek-sulek.html?page_id=120047, Pediatrická kardiológia,Trnavský,Senica
"Ambulancia čeľustnej ortopédie, Senica, (P&B DENT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-celustnej-ortopedie-senica-pb-dent.html?page_id=120034, čeľustná ortopédia,Trnavský,Senica
"Ambulancia akupunktúry, Senica, (MUDr. PRUŽ, spol. s r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-akupunktury-senica-mudr.-pruz-spol.-s-r.o..html?page_id=105666, Akupunktúra,Trnavský,Senica
"Gynekologická ambulancia, Šaštín-Stráže, (GynAc, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/gynekologicka-ambulancia-sastin-straze-gynac.html?page_id=105418, Gynekológia a pôrodníctvo,Trnavský,Senica
"SVaLZ, rádiológia, Senica, (PHARMACY - HC, spol. s r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/svalz-radiologia-senica-pharmacy-hc-spol.-s-r.o..html?page_id=105249, Rádiológia,Trnavský,Senica
"Ambulancia zubného lekárstva, MUDr. Nadežda Petergáčová, Borský Svätý Jur, (STOMAPET, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-mudr.-nadezda-petergacova-borsky-svaty-jur-stomapet.html?page_id=105065, Zubné lekárstvo,Trnavský,Senica
"Ambulancia zubného lekárstva, Senica, (Dentadent s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senica/ambulancia-zubneho-lekarstva-senica-dentadent.html?page_id=104625, Zubné lekárstvo,Trnavský,Senica
