title,doctor_url,specialization,kraj,okres
"Ambulancia pracovného lekárstva, Holíč, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-pracovneho-lekarstva-holic-teamprevent-sante-s.-r.-o..html?page_id=143464, Pracovné lekárstvo,Trnavský,Skalica
"Ambulancia dentálnej hygieny, Holíč, (STARDENT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-dentalnej-hygieny-holic-stardent.html?page_id=143403, Dentálna hygiena,Trnavský,Skalica
"Ambulancia zubného lekárstva, Holíč, (STARDENT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-zubneho-lekarstva-holic-stardent-1.html?page_id=143400, Zubné lekárstvo,Trnavský,Skalica
"Jednodňová zdravotná starostlivosť, oftalmológia, Skalica, (Fakultná nemocnica AGEL Skalica a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/jednodnova-zdravotna-starostlivost-oftalmologia-skalica-fakultna-nemocnica-agel-skalica-a.s..html?page_id=143368, Oftalmológia,Trnavský,Skalica
"Všeobecná ambulancia pre dospelých, Gbely, (ALTAREA MEDICA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-dospelych-gbely-altarea-medica.html?page_id=142749, Všeobecné lekárstvo,Trnavský,Skalica
"SVaLZ, fyzioterapia, Skalica, (Mgr. Tomáš Lemberka)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/svalz-fyzioterapia-skalica-mgr.-tomas-lemberka.html?page_id=142486, Fyzioterapia,Trnavský,Skalica
"Všeobecná ambulancia pre deti a dorast, Skalica, (MEDA DVA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-deti-a-dorast-skalica-meda-dva-1.html?page_id=141970, Všeobecná starostlivosť o deti a dorast,Trnavský,Skalica
"SVaLZ, fyzioterapia, Holíč, (Mgr. Vladimír Filúš)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/svalz-fyzioterapia-holic-mgr.-vladimir-filus.html?page_id=141762, Fyzioterapia,Trnavský,Skalica
"Ambulancia klinickej psychológie, Skalica, (Tvoj psychológ s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-klinickej-psychologie-skalica-tvoj-psycholog.html?page_id=141210," Klinická psychológia, Psychoterapia",Trnavský,Skalica
"Jednodňová zdravotná starostlivosť, ortopédia, Holíč, (STARDENT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/jednodnova-zdravotna-starostlivost-ortopedia-holic-stardent.html?page_id=141096, Ortopédia,Trnavský,Skalica
"Všeobecná ambulancia pre deti a dorast, Holíč, (MEDALERG, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-deti-a-dorast-holic-medalerg.html?page_id=140807, Všeobecná starostlivosť o deti a dorast,Trnavský,Skalica
"Ambulancia vnútorného lekárstva, Radošovce, (Agrimonia medical s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-vnutorneho-lekarstva-radosovce-agrimonia-medical-s.-r.-o..html?page_id=140540, Vnútorné lekárstvo,Trnavský,Skalica
"Všeobecná ambulancia pre dospelých, Radošovce, (Agrimonia medical s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-dospelych-radosovce-agrimonia-medical-s.-r.-o..html?page_id=140541, Všeobecné lekárstvo,Trnavský,Skalica
"Ambulancia čeľustnej ortopédie, Holíč, (AA Klinik s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-celustnej-ortopedie-holic-aa-klinik-s.-r.-o..html?page_id=140522, čeľustná ortopédia,Trnavský,Skalica
"Ambulancia dentálnej hygieny, Holíč, (AA Klinik s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-dentalnej-hygieny-holic-aa-klinik-s.-r.-o..html?page_id=140521, Dentálna hygiena,Trnavský,Skalica
"Všeobecná ambulancia pre deti a dorast, Radošovce, (MEDALERG, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-deti-a-dorast-radosovce-medalerg.html?page_id=135929, Všeobecná starostlivosť o deti a dorast,Trnavský,Skalica
"Ambulancia pracovného lekárstva, Holíč, (BOZPO, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-pracovneho-lekarstva-holic-bozpo.html?page_id=135797, Pracovné lekárstvo,Trnavský,Skalica
"Gynekologická ambulancia, Skalica, (FEMME CARE CLINIQUE s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/gynekologicka-ambulancia-skalica-femme-care-clinique.html?page_id=135658, Gynekológia a pôrodníctvo,Trnavský,Skalica
"Angiologická ambulancia, Holíč, (MH-angio s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/angiologicka-ambulancia-holic-mh-angio.html?page_id=135576, Angiológia,Trnavský,Skalica
"SVaLZ, klinická imunológia a alergológia, Skalica, (Fakultná nemocnica AGEL Skalica a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/svalz-klinicka-imunologia-a-alergologia-skalica-fakultna-nemocnica-agel-skalica-a.s..html?page_id=135572, Klinická imunológia a alergológia,Trnavský,Skalica
"Všeobecná ambulancia pre dospelých, Gbely, (MUDr. Marek Tejral)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/vseobecna-ambulancia-pre-dospelych-gbely-mudr.-marek-tejral.html?page_id=135169, Všeobecné lekárstvo,Trnavský,Skalica
"Ambulancia rýchlej zdravotnej pomoci, Brodské, (Fakultná nemocnica AGEL Skalica a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-rychlej-zdravotnej-pomoci-brodske-fakultna-nemocnica-agel-skalica-a.s..html?page_id=135028, Rýchla zdravotná pomoc,Trnavský,Skalica
"Ambulancia rýchlej zdravotnej pomoci, Gbely, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-rychlej-zdravotnej-pomoci-gbely-lse-life-star-emergency.html?page_id=134762, Rýchla zdravotná pomoc,Trnavský,Skalica
"Ambulancia rýchlej lekárskej pomoci, Skalica, (Fakultná nemocnica AGEL Skalica a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-rychlej-lekarskej-pomoci-skalica-fakultna-nemocnica-agel-skalica-a.s..html?page_id=134688, Rýchla lekárska pomoc,Trnavský,Skalica
"Oftalmologická ambulancia, Holíč, (Očné Holíč, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/oftalmologicka-ambulancia-holic-ocne-holic.html?page_id=133155, Oftalmológia,Trnavský,Skalica
"Ortopedická ambulancia, MUDr.Skála Jozef, Skalica, (S - Medical, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ortopedicka-ambulancia-mudr.skala-jozef-skalica-s-medical.html?page_id=132980, Ortopédia,Trnavský,Skalica
"Ambulancia zubného lekárstva, Holíč, (AA Klinik s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-zubneho-lekarstva-holic-aa-klinik-s.-r.-o.-2.html?page_id=132743, Zubné lekárstvo,Trnavský,Skalica
"Ambulancia zubného lekárstva, Holíč, (AA Klinik s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-zubneho-lekarstva-holic-aa-klinik-s.-r.-o.-1.html?page_id=132744, Zubné lekárstvo,Trnavský,Skalica
"Ambulancia zubného lekárstva, Holíč, (AA Klinik s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/skalica/ambulancia-zubneho-lekarstva-holic-aa-klinik-s.-r.-o..html?page_id=132745, Zubné lekárstvo,Trnavský,Skalica
