title,doctor_url,specialization,kraj,okres
"Otorinolaryngologická ambulancia, Trnava, (RHINO, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/otorinolaryngologicka-ambulancia-trnava-rhino.html?page_id=143799, Otorinolaryngológia,Trnavský,Trnava
"Všeobecná ambulancia pre deti a dorast, Trnava, (Santé RG s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/vseobecna-ambulancia-pre-deti-a-dorast-trnava-sante-rg-s.-r.-o..html?page_id=143678, Všeobecná starostlivosť o deti a dorast,Trnavský,Trnava
"Ambulancia zubného lekárstva, Voderady, (Dantistmed s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-voderady-dantistmed.html?page_id=143674, Zubné lekárstvo,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (Dina-Dent s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-dina-dent-s.-r.-o..html?page_id=143547, Zubné lekárstvo,Trnavský,Trnava
"Ambulancia neurochirurgická, Trnava, (NeuroSpine s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-neurochirurgicka-trnava-neurospine.html?page_id=143438, Neurochirurgia,Trnavský,Trnava
"Všeobecná ambulancia pre dospelých, Trnava, (Zdravá župa, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/vseobecna-ambulancia-pre-dospelych-trnava-zdrava-zupa-s.-r.-o..html?page_id=143417, Všeobecné lekárstvo,Trnavský,Trnava
"Pneumologicko-ftizeologická ambulancia, Trnava, (Pulmonar s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/pneumologicko-ftizeologicka-ambulancia-trnava-pulmonar-s.-r.-o..html?page_id=143125, Pneumológia a ftizeológia,Trnavský,Trnava
"Ambulancia pracovnej a organizačnej psychológie, Trnava, (PhDr. Lucia Kardošová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-pracovnej-a-organizacnej-psychologie-trnava-phdr.-lucia-kardosova.html?page_id=143112," Pracovná a organizačná psychológia, Dopravná psychológia",Trnavský,Trnava
"Psychiatrická ambulancia, Trnava, (ANIMO Trnava s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/psychiatricka-ambulancia-trnava-animo-trnava-s.-r.-o..html?page_id=143071, Psychiatria,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (iDentic s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-identic-s.-r.-o..html?page_id=142592, Zubné lekárstvo,Trnavský,Trnava
"SVaLZ, rádiológia, Trnava, (MEDICAN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/svalz-radiologia-trnava-medican-1.html?page_id=142570, Rádiológia,Trnavský,Trnava
"Ambulancia pracovného lekárstva, Trnava, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-pracovneho-lekarstva-trnava-teamprevent-sante-s.-r.-o.-1.html?page_id=142421, Pracovné lekárstvo,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (Dentest, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-dentest-s.-r.-o.-1.html?page_id=142231, Zubné lekárstvo,Trnavský,Trnava
"Ambulancia zubného lekárstva, Smolenice, (IZ - Dent s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-smolenice-iz-dent-1.html?page_id=142122, Zubné lekárstvo,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (DK STOM, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-dk-stom-s.-r.-o..html?page_id=141654, Zubné lekárstvo,Trnavský,Trnava
"Chirurgická ambulancia, Trnava, (MEDICAN-JAS, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/chirurgicka-ambulancia-trnava-medican-jas.html?page_id=141474, Chirurgia,Trnavský,Trnava
"Ambulancia akupunktúry, Trnava, (FROGYN GP, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-akupunktury-trnava-frogyn-gp.html?page_id=141473, Akupunktúra,Trnavský,Trnava
"Ambulancia klinickej psychológie, Trnava, (Mental Care s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-klinickej-psychologie-trnava-mental-care.html?page_id=141339, Klinická psychológia,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (ARRIDENS s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-arridens-1.html?page_id=141208, Zubné lekárstvo,Trnavský,Trnava
"Všeobecná ambulancia pre deti a dorast, Zavar, (MUDr. Černá s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/vseobecna-ambulancia-pre-deti-a-dorast-zavar-mudr.-cerna.html?page_id=140978, Všeobecná starostlivosť o deti a dorast,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (PDG Dent s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-pdg-dent-s.-r.-o..html?page_id=140850, Zubné lekárstvo,Trnavský,Trnava
"SVaLZ, fyzioterapia, Trnava, (PhDr. Serhii Zinchenko)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/svalz-fyzioterapia-trnava-phdr.-serhii-zinchenko.html?page_id=140809, Fyzioterapia,Trnavský,Trnava
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Trnava, (CentroMedico, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-trnava-centromedico.html?page_id=140783," Diabetológia, poruchy látkovej premeny a výživy",Trnavský,Trnava
"Jednodňová zdravotná starostlivosť, oftalmológia, Trnava, (IVIO s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/jednodnova-zdravotna-starostlivost-oftalmologia-trnava-ivio-s.-r.-o..html?page_id=140633, Oftalmológia,Trnavský,Trnava
"Ambulancia zubného lekárstva, Trnava, (Dentest, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-zubneho-lekarstva-trnava-dentest-s.-r.-o..html?page_id=140498, Zubné lekárstvo,Trnavský,Trnava
"Gynekologická ambulancia, Trnava, (ALLATURA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/gynekologicka-ambulancia-trnava-allatura-1.html?page_id=140496, Gynekológia a pôrodníctvo,Trnavský,Trnava
"SVaLZ, liečebná rehabilitácia a fyzioterapia porúch vybraných systémov, Trnava, (Gravity Academy s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/svalz-liecebna-rehabilitacia-a-fyzioterapia-poruch-vybranych-systemov-trnava-gravity-academy.html?page_id=140334," Liečebná rehabilitácia a fyzioterapia porúch vybraných systémov, Mobilizačné techniky",Trnavský,Trnava
"SVaLZ, rádiológia, Trnava, (Fakultná nemocnica Trnava)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/svalz-radiologia-trnava-fakultna-nemocnica-trnava-2.html?page_id=140318, Rádiológia,Trnavský,Trnava
"Ortopedická ambulancia, Trnava, (Medico Pro s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ortopedicka-ambulancia-trnava-medico-pro-s.-r.-o..html?page_id=139851, Ortopédia,Trnavský,Trnava
"IVIO CLINIC, očná klinika, Trnava, (IVIO s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ivio-clinic-ocna-klinika-trnava-ivio-s.-r.-o.-1.html?page_id=139848, Oftalmológia,Trnavský,Trnava
"IVIO CLINIC, očná klinika, Trnava, (IVIO s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ivio-clinic-ocna-klinika-trnava-ivio-s.-r.-o..html?page_id=139849, Oftalmológia,Trnavský,Trnava
"Ambulancia všeobecného lekára, Trnava, (VL.AK s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-vseobecneho-lekara-trnava-vl.ak-s.-r.-o..html?page_id=136462, Všeobecné lekárstvo,Trnavský,Trnava
"Ambulancia dentálnej hygieny, Trnava, (Bc. Peter Kramárik)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trnava/ambulancia-dentalnej-hygieny-trnava-bc.-peter-kramarik.html?page_id=135945, Dentálna hygiena,Trnavský,Trnava
