title,doctor_url,specialization,kraj,okres
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Bytča, (Diab - Int, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-bytca-diab-int-1.html?page_id=141869," Diabetológia, poruchy látkovej premeny a výživy",Žilinský,Bytča
"Chirurgická ambulancia, Bytča, (Chirurg MCH, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/chirurgicka-ambulancia-bytca-chirurg-mch-s.-r.-o..html?page_id=141838, Chirurgia,Žilinský,Bytča
"Endokrinologická ambulancia, Bytča, (Diab - Int, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/endokrinologicka-ambulancia-bytca-diab-int.html?page_id=141745, Endokrinológia,Žilinský,Bytča
"Neurologická ambulancia, Bytča, (MUDr. Jana Jurašková)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/neurologicka-ambulancia-bytca-mudr.-jana-juraskova.html?page_id=141337, Neurológia,Žilinský,Bytča
"Ambulancia zubného lekárstva, Bytča, (Dental clinic Nová Bytča, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/ambulancia-zubneho-lekarstva-bytca-dental-clinic-nova-bytca-s.-r.-o..html?page_id=141331, Zubné lekárstvo,Žilinský,Bytča
"Všeobecná ambulancia pre dospelých, Štiavnik, (Aquilamed s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/vseobecna-ambulancia-pre-dospelych-stiavnik-aquilamed-s.-r.-o..html?page_id=141329, Všeobecné lekárstvo,Žilinský,Bytča
"Ambulancia klinickej logopédie, Bytča, (Logopedická ambulancia, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/ambulancia-klinickej-logopedie-bytca-logopedicka-ambulancia.html?page_id=140844, Klinická logopédia,Žilinský,Bytča
"Psychiatrická ambulancia, Bytča, (MUDr. Loncková Katarína, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/psychiatricka-ambulancia-bytca-mudr.-lonckova-katarina-s.-r.-o..html?page_id=135149," Psychiatria, Psychoterapia",Žilinský,Bytča
"Neurologická ambulancia, Bytča, (MEDICA - care, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/neurologicka-ambulancia-bytca-medica-care.html?page_id=132979,!,Žilinský,Bytča
"Ambulancia rýchlej zdravotnej pomoci, Bytča, (RZP, a.s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bytca/ambulancia-rychlej-zdravotnej-pomoci-bytca-rzp-a.s..html?page_id=132569, Rýchla zdravotná pomoc,Žilinský,Bytča
