title,doctor_url,specialization,kraj,okres
"Angiologická ambulancia, Dolný Kubín, (SRDCE ŽIVOTA, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/angiologicka-ambulancia-dolny-kubin-srdce-zivota-s.-r.-o..html?page_id=143666, Angiológia,Žilinský,Dolný Kubín
"Všeobecná ambulancia pre deti a dorast, MUDr. Monika Blažeňáková, Dolný Kubín, (Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-monika-blazenakova-dolny-kubin-dolnooravska-nemocnica-s-poliklinikou-mudr.-l.-nadasi-jegeho-dolny-kubin.html?page_id=142607, Všeobecná starostlivosť o deti a dorast,Žilinský,Dolný Kubín
"Ambulancia klinickej imunológie a alergológie, MUDr. Jana Kožičková, Dolný Kubín, (ALERGO-DK s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ambulancia-klinickej-imunologie-a-alergologie-mudr.-jana-kozickova-dolny-kubin-alergo-dk-s.-r.-o..html?page_id=142407, Klinická imunológia a alergológia,Žilinský,Dolný Kubín
"Ambulancia zubného lekárstva, Dlhá nad Oravou, (JS DENT s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ambulancia-zubneho-lekarstva-dlha-nad-oravou-js-dent-1.html?page_id=141910, Zubné lekárstvo,Žilinský,Dolný Kubín
"Ambulancia klinickej logopédie, Dolný Kubín, (Dialóg spol. s r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ambulancia-klinickej-logopedie-dolny-kubin-dialog-spol.-s-r.o..html?page_id=141887, Klinická logopédia,Žilinský,Dolný Kubín
"Ambulancia pediatrickej endokrinológie a diabetológie a porúch látkovej premeny a výživy, MUDr. Andrea Milanová , Dolný Kubín, (Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ambulancia-pediatrickej-endokrinologie-a-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-mudr.-andrea-milanova-dolny-kubin-dolnooravska-nemocnica-s-poliklinikou-mudr.-l.-nadasi-jegeho-dolny.html?page_id=140605," Pediatrická endokrinológia a diabetológia, poruchy látkovej premeny a výživy",Žilinský,Dolný Kubín
"ADOS, Nemocničná, Dolný Kubín, (ADOS POPRAD, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ados-nemocnicna-dolny-kubin-ados-poprad.html?page_id=140231, Domáca ošetrovateľská starostlivosť,Žilinský,Dolný Kubín
"Ambulancia zubného lekárstva, Dolný Kubín, (DENTELI, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/ambulancia-zubneho-lekarstva-dolny-kubin-denteli-s.-r.-o..html?page_id=135796, Zubné lekárstvo,Žilinský,Dolný Kubín
"Oftalmologická ambulancia, Dolný Kubín, (Oftal - med, s r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/oftalmologicka-ambulancia-dolny-kubin-oftal-med-s-r.-o..html?page_id=135453, Oftalmológia,Žilinský,Dolný Kubín
"Všeobecná ambulancia pre dospelých, Dolný Kubín, (Kršák - zdrav, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/vseobecna-ambulancia-pre-dospelych-dolny-kubin-krsak-zdrav-s.-r.-o..html?page_id=135447, Všeobecné lekárstvo,Žilinský,Dolný Kubín
