title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (Odontos, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-odontos.html?page_id=143385, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (SODENTAL, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-sodental-s.-r.-o..html?page_id=133153, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Nefrologická ambulancia, Kysucké Nové Mesto, (MUDr. Ľubomíra Tomusová)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/nefrologicka-ambulancia-kysucke-nove-mesto-mudr.-lubomira-tomusova.html?page_id=133151," Nefrológia, Abdominálna ultrasonografia u dospelých",Žilinský,Kysucké Nové Mesto
"Ambulancia vnútorného lekárstva, Kysucké Nové Mesto, (MUDr. Ľubomíra Tomusová)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-vnutorneho-lekarstva-kysucke-nove-mesto-mudr.-lubomira-tomusova.html?page_id=133150," Vnútorné lekárstvo, Abdominálna ultrasonografia u dospelých",Žilinský,Kysucké Nové Mesto
"Ambulancia rýchlej zdravotnej pomoci, Kysucké Nové Mesto, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-rychlej-zdravotnej-pomoci-kysucke-nove-mesto-zachranna-zdravotna-sluzba-bratislava.html?page_id=133034, Rýchla zdravotná pomoc,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (MDDr. Miloš Hmíra)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-mddr.-milos-hmira.html?page_id=132196,!,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucký Lieskovec, (STOMA KL, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucky-lieskovec-stoma-kl.html?page_id=130741, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (AM. Ševecová, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-am.-sevecova.html?page_id=130737, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia vnútorného lekárstva, Kysucké Nové Mesto, (KARDIOMED RM s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-vnutorneho-lekarstva-kysucke-nove-mesto-kardiomed-rm.html?page_id=130372, Vnútorné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (Tetiana Morgunova)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-tetiana-morgunova.html?page_id=130248, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia čeľustnej ortopédie, Kysucké Nové Mesto, (VIACARE, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-celustnej-ortopedie-kysucke-nove-mesto-viacare.html?page_id=126945, čeľustná ortopédia,Žilinský,Kysucké Nové Mesto
"Ambulancia zubného lekárstva, Kysucké Nové Mesto, (VIACARE, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-zubneho-lekarstva-kysucke-nove-mesto-viacare.html?page_id=126944, Zubné lekárstvo,Žilinský,Kysucké Nové Mesto
"Ambulancia klinickej imunológie a alergológie, Kysucké Nové Mesto, (ALERIMUN s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/ambulancia-klinickej-imunologie-a-alergologie-kysucke-nove-mesto-alerimun.html?page_id=126665, Klinická imunológia a alergológia,Žilinský,Kysucké Nové Mesto
