title,doctor_url,specialization,kraj,okres
"Kardiologická ambulancia, Liptovský Mikuláš, (SRDCE ŽIVOTA, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/kardiologicka-ambulancia-liptovsky-mikulas-srdce-zivota-s.-r.-o..html?page_id=143730,!,Žilinský,Liptovský Mikuláš
"Ambulancia čeľustnej ortopédie, Liptovský Mikuláš, (LuckyDent, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-celustnej-ortopedie-liptovsky-mikulas-luckydent.html?page_id=143383, čeľustná ortopédia,Žilinský,Liptovský Mikuláš
"Algeziologická ambulancia, Liptovský Mikuláš, (NeuroVK, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/algeziologicka-ambulancia-liptovsky-mikulas-neurovk.html?page_id=143361, Algeziológia,Žilinský,Liptovský Mikuláš
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Dental group LM, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-zubneho-lekarstva-liptovsky-mikulas-dental-group-lm-s.-r.-o..html?page_id=142227, Zubné lekárstvo,Žilinský,Liptovský Mikuláš
"Všeobecná ambulancia pre deti a dorast, Východná, (MUDr. Jitka Veselá)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/vseobecna-ambulancia-pre-deti-a-dorast-vychodna-mudr.-jitka-vesela.html?page_id=142055, Pediatria,Žilinský,Liptovský Mikuláš
"Algeziologická ambulancia, MUDr. Michal Kováčik, Liptovský Mikuláš, (Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu Liptovský Mikuláš)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/algeziologicka-ambulancia-mudr.-michal-kovacik-liptovsky-mikulas-liptovska-nemocnica-s-poliklinikou-mudr.-ivana-stodolu-liptovsky-mikulas.html?page_id=142012, Algeziológia,Žilinský,Liptovský Mikuláš
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Liptovský úsmev, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-zubneho-lekarstva-liptovsky-mikulas-liptovsky-usmev-s.-r.-o..html?page_id=141883, Zubné lekárstvo,Žilinský,Liptovský Mikuláš
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Dr. Martin LM1 s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-zubneho-lekarstva-liptovsky-mikulas-dr.-martin-lm1-s.-r.-o.-7.html?page_id=141727, Zubné lekárstvo,Žilinský,Liptovský Mikuláš
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Dr. Martin LM1 s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-zubneho-lekarstva-liptovsky-mikulas-dr.-martin-lm1-s.-r.-o.-8.html?page_id=141728, Zubné lekárstvo,Žilinský,Liptovský Mikuláš
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Dr. Martin LM1 s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/ambulancia-zubneho-lekarstva-liptovsky-mikulas-dr.-martin-lm1-s.-r.-o.-4.html?page_id=141724, Zubné lekárstvo,Žilinský,Liptovský Mikuláš
