title,doctor_url,specialization,kraj,okres
"Ambulancia klinickej logopédie, Martin, (Logorea s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-klinickej-logopedie-martin-logorea-s.-r.-o..html?page_id=143721, Klinická logopédia,Žilinský,Martin
"Všeobecná ambulancia pre deti a dorast, Martin, (MojaPoliklinika s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/vseobecna-ambulancia-pre-deti-a-dorast-martin-mojapoliklinika-s.-r.-o..html?page_id=143290, Pediatria,Žilinský,Martin
"Kardiologická ambulancia, doc. MUDr. Matej Samoš, PhD., Martin, (Univerzitná nemocnica Martin)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/kardiologicka-ambulancia-doc.-mudr.-matej-samos-phd.-martin-univerzitna-nemocnica-martin.html?page_id=143177," Kardiológia, Echokardiografia, Vyšetrovacie metódy v kardiológii",Žilinský,Martin
"Neurologická ambulancia, Martin, (Neur One, n. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/neurologicka-ambulancia-martin-neur-one-n.-o..html?page_id=143158, Neurológia,Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (Dent One, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-dent-one.html?page_id=143066," Zubné lekárstvo, Dentoalveolárna chirurgia",Žilinský,Martin
"Všeobecná ambulancia pre dospelých, Martin, (OK AMBULANCIA, a. s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/vseobecna-ambulancia-pre-dospelych-martin-ok-ambulancia-a.-s..html?page_id=142707, Všeobecné lekárstvo,Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (KŘÍŽ DENTAL CLINIC, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-kriz-dental-clinic-2.html?page_id=142506, Zubné lekárstvo,Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (KŘÍŽ DENTAL CLINIC, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-kriz-dental-clinic-3.html?page_id=142507, Zubné lekárstvo,Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (KŘÍŽ DENTAL CLINIC, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-kriz-dental-clinic-4.html?page_id=142508," Zubné lekárstvo, Dentálna hygiena",Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (KŘÍŽ DENTAL CLINIC, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-kriz-dental-clinic.html?page_id=142504, Zubné lekárstvo,Žilinský,Martin
"Ambulancia zubného lekárstva, Martin, (KŘÍŽ DENTAL CLINIC, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-kriz-dental-clinic-1.html?page_id=142505, Zubné lekárstvo,Žilinský,Martin
"Dermatovenerologická ambulancia, Martin, (MojaPoliklinika s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/dermatovenerologicka-ambulancia-martin-mojapoliklinika-s.-r.-o..html?page_id=142475, Dermatovenerológia,Žilinský,Martin
