title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Oravské Veselé, (MDDr. Alžbeta Kvasničáková)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-oravske-vesele-mddr.-alzbeta-kvasnicakova-1.html?page_id=143729, Zubné lekárstvo,Žilinský,Námestovo
"Kardiologická ambulancia, MUDr. Alexander Klabník, PhD., Námestovo, (Oralek, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/kardiologicka-ambulancia-mudr.-alexander-klabnik-phd.-namestovo-oralek-2.html?page_id=143291, Kardiológia,Žilinský,Námestovo
"Ambulancia vnútorného lekárstva, Námestovo, (MUDr. Loneková, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-vnutorneho-lekarstva-namestovo-mudr.-lonekova-s.-r.-o..html?page_id=143212, Vnútorné lekárstvo,Žilinský,Námestovo
"SVaLZ, fyzioterapia v športe a telovýchove, Oravská Lesná, (Fyzioklinika s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/svalz-fyzioterapia-v-sporte-a-telovychove-oravska-lesna-fyzioklinika-s.-r.-o..html?page_id=142446," Fyzioterapia v športe a telovýchove, Fyzioterapia",Žilinský,Námestovo
"Všeobecná ambulancia pre deti a dorast, MUDr. Vladimír Doktorov, Oravská Lesná, (Oravská poliklinika Námestovo)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-vladimir-doktorov-oravska-lesna-oravska-poliklinika-namestovo.html?page_id=142011," Všeobecná starostlivosť o deti a dorast, Dorastové lekárstvo",Žilinský,Námestovo
"Ambulancia zubného lekárstva, Námestovo, (FENADENT s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-namestovo-fenadent.html?page_id=141235," Zubné lekárstvo, Dentoalveolárna chirurgia",Žilinský,Námestovo
"Ambulancia zubného lekárstva, Námestovo, (DENTIVA, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-namestovo-dentiva-s.-r.-o..html?page_id=141113, Zubné lekárstvo,Žilinský,Námestovo
"Ambulancia dentálnej hygieny, Lokca, (Bc. Jana Halušková)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-dentalnej-hygieny-lokca-bc.-jana-haluskova.html?page_id=140614, Dentálna hygiena,Žilinský,Námestovo
"Ambulancia zubného lekárstva, MUDr. Magdaléna Šelianová, Námestovo, (ORAVADENT s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-mudr.-magdalena-selianova-namestovo-oravadent-s.-r.-o..html?page_id=140094, Zubné lekárstvo,Žilinský,Námestovo
"Ambulancia zubného lekárstva, Rabča, (ORAVADENT s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-rabca-oravadent-s.-r.-o..html?page_id=140095, Zubné lekárstvo,Žilinský,Námestovo
"Všeobecná ambulancia pre dospelých, Lokca, (MUDr. Raška, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/vseobecna-ambulancia-pre-dospelych-lokca-mudr.-raska-s.-r.-o..html?page_id=136419, Všeobecné lekárstvo,Žilinský,Námestovo
"Ambulancia klinickej logopédie, Námestovo, (Logos SN s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-klinickej-logopedie-namestovo-logos-sn-s.-r.-o..html?page_id=134954, Klinická logopédia,Žilinský,Námestovo
"Ambulancia rýchlej zdravotnej pomoci, Oravská Polhora, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-rychlej-zdravotnej-pomoci-oravska-polhora-zachranna-zdravotna-sluzba-bratislava.html?page_id=134737, Rýchla zdravotná pomoc,Žilinský,Námestovo
"Ambulancia rýchlej zdravotnej pomoci, Zákamenné, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-rychlej-zdravotnej-pomoci-zakamenne-zachranna-zdravotna-sluzba-bratislava.html?page_id=134738, Rýchla zdravotná pomoc,Žilinský,Námestovo
"Ambulancia rýchlej zdravotnej pomoci, Oravské Veselé, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-rychlej-zdravotnej-pomoci-oravske-vesele-zachranna-zdravotna-sluzba-bratislava.html?page_id=134736, Rýchla zdravotná pomoc,Žilinský,Námestovo
"Geriatrická ambulancia MUDr. Alexander Klabník, PhD., Námestovo, (Oralek, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/geriatricka-ambulancia-mudr.-alexander-klabnik-phd.-namestovo-oralek.html?page_id=133032, Geriatria,Žilinský,Námestovo
"Dispečing dopravnej zdravotnej služby, Námestovo, (DZS NÁMESTOVO s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/dispecing-dopravnej-zdravotnej-sluzby-namestovo-dzs-namestovo-s.-r.-o..html?page_id=132694,,Žilinský,Námestovo
"Ambulancia rýchlej lekárskej pomoci, Námestovo, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-rychlej-lekarskej-pomoci-namestovo-zachranna-zdravotna-sluzba-bratislava.html?page_id=132592, Rýchla lekárska pomoc,Žilinský,Námestovo
"Ambulancia zubného lekárstva, Lokca, (SKALAK stom, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-lokca-skalak-stom.html?page_id=132264, Zubné lekárstvo,Žilinský,Námestovo
"Gynekologická ambulancia, Námestovo, (GYN–ORL, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/gynekologicka-ambulancia-namestovo-gyn-orl-s.-r.-o..html?page_id=132079, Gynekológia a pôrodníctvo,Žilinský,Námestovo
"Otorinolaryngologická ambulancia, Námestovo, (GYN–ORL, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/otorinolaryngologicka-ambulancia-namestovo-gyn-orl-s.-r.-o..html?page_id=132080, Otorinolaryngológia,Žilinský,Námestovo
"Ambulancia zubného lekárstva, Oravské Veselé, (MDDr. Alžbeta Kvasničáková)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-zubneho-lekarstva-oravske-vesele-mddr.-alzbeta-kvasnicakova.html?page_id=131595, Zubné lekárstvo,Žilinský,Námestovo
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Námestovo, (REHABILITÁCIA NO s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-namestovo-rehabilitacia-no-s.-r.-o..html?page_id=131111," Fyziatria, balneológia a liečebná rehabilitácia",Žilinský,Námestovo
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Námestovo, (REHABILITÁCIA NO s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-namestovo-rehabilitacia-no-s.-r.-o..html?page_id=131112," Fyziatria, balneológia a liečebná rehabilitácia",Žilinský,Námestovo
"Oftalmologická ambulancia, Námestovo, (Oravská poliklinika Námestovo)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/oftalmologicka-ambulancia-namestovo-oravska-poliklinika-namestovo.html?page_id=130840, Oftalmológia,Žilinský,Námestovo
"Algeziologická ambulancia, Námestovo, (Oravská poliklinika Námestovo)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/algeziologicka-ambulancia-namestovo-oravska-poliklinika-namestovo.html?page_id=129510, Algeziológia,Žilinský,Námestovo
"SVaLZ, fyzioterapia vybraných ochorení pohybového systému, Námestovo, (PhysioActive s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/namestovo/svalz-fyzioterapia-vybranych-ochoreni-pohyboveho-systemu-namestovo-physioactive.html?page_id=127614, Fyzioterapia vybraných ochorení pohybového systému,Žilinský,Námestovo
