title,doctor_url,specialization,kraj,okres
"Angiologická ambulancia, Ružomberok, (SRDCE ŽIVOTA, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/angiologicka-ambulancia-ruzomberok-srdce-zivota-s.-r.-o..html?page_id=143667, Angiológia,Žilinský,Ružomberok
"Všeobecná ambulancia pre deti a dorast, Liptovské Sliače, (Nosko Health Prevention, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/vseobecna-ambulancia-pre-deti-a-dorast-liptovske-sliace-nosko-health-prevention-s.-r.-o..html?page_id=143399," Všeobecná starostlivosť o deti a dorast, Dorastové lekárstvo",Žilinský,Ružomberok
"Endokrinologická ambulancia, Ružomberok, (AM2 s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/endokrinologicka-ambulancia-ruzomberok-am2-s.-r.-o..html?page_id=143380, Endokrinológia,Žilinský,Ružomberok
"Ambulancia zubného lekárstva, Ružomberok, (OMEGA Dental s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/ambulancia-zubneho-lekarstva-ruzomberok-omega-dental-s.-r.-o..html?page_id=143216, Zubné lekárstvo,Žilinský,Ružomberok
"Ambulancia zubného lekárstva, Ružomberok, (OMEGA Dental - surgery s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/ambulancia-zubneho-lekarstva-ruzomberok-omega-dental-surgery-s.-r.-o..html?page_id=143214," Zubné lekárstvo, Dentoalveolárna chirurgia",Žilinský,Ružomberok
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Ružomberok, (G - Pharma, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-ruzomberok-g-pharma.html?page_id=143069," Diabetológia, poruchy látkovej premeny a výživy",Žilinský,Ružomberok
"Oftalmologická ambulancia, Ružomberok, (Doctoral s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/oftalmologicka-ambulancia-ruzomberok-doctoral-s.-r.-o..html?page_id=143068, Oftalmológia,Žilinský,Ružomberok
"Všeobecná ambulancia pre dospelých, Ružomberok, (SAFIRS, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/vseobecna-ambulancia-pre-dospelych-ruzomberok-safirs.html?page_id=142682, Všeobecné lekárstvo,Žilinský,Ružomberok
"SVaLZ, fyzioterapia, Ružomberok, (Mgr. Daniel Buliak)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/svalz-fyzioterapia-ruzomberok-mgr.-daniel-buliak.html?page_id=142097, Fyzioterapia,Žilinský,Ružomberok
"Všeobecná ambulancia pre deti a dorast, Ružomberok, (MUDr. Drusková, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/vseobecna-ambulancia-pre-deti-a-dorast-ruzomberok-mudr.-druskova.html?page_id=141839," Dorastové lekárstvo, Všeobecná starostlivosť o deti a dorast",Žilinský,Ružomberok
