title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Turčianske Teplice, (TOP-MEDICA, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/vseobecna-ambulancia-pre-dospelych-turcianske-teplice-top-medica-s.-r.-o..html?page_id=143669, Všeobecné lekárstvo,Žilinský,Turčianske Teplice
"Ambulancia klinickej logopédie, Turčianske Teplice, (Mgr. Blanka Kolenová)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/ambulancia-klinickej-logopedie-turcianske-teplice-mgr.-blanka-kolenova.html?page_id=141678, Klinická logopédia,Žilinský,Turčianske Teplice
"Ambulancia rýchlej zdravotnej pomoci, Turčianske Teplice, (RZP, a.s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/ambulancia-rychlej-zdravotnej-pomoci-turcianske-teplice-rzp-a.s..html?page_id=133069, Rýchla zdravotná pomoc,Žilinský,Turčianske Teplice
"Gynekologická ambulancia, Slovenské Pravno, (AETAS, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/gynekologicka-ambulancia-slovenske-pravno-aetas.html?page_id=131686, Gynekológia a pôrodníctvo,Žilinský,Turčianske Teplice
"Chirurgická ambulancia, Turčianske Teplice, (Traumachir, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/chirurgicka-ambulancia-turcianske-teplice-traumachir.html?page_id=130744, Chirurgia,Žilinský,Turčianske Teplice
"Ambulancia úrazovej chirurgie, Turčianske Teplice, (Traumachir, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/ambulancia-urazovej-chirurgie-turcianske-teplice-traumachir.html?page_id=130743, úrazová chirurgia,Žilinský,Turčianske Teplice
"Všeobecná ambulancia pre dospelých, Slovenské Pravno, (TEP-GEN, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/vseobecna-ambulancia-pre-dospelych-slovenske-pravno-tep-gen.html?page_id=130620, Všeobecné lekárstvo,Žilinský,Turčianske Teplice
"Ambulancia zubného lekárstva, Mošovce, (Nataliya Kuzma)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/ambulancia-zubneho-lekarstva-mosovce-nataliya-kuzma.html?page_id=130015, Zubné lekárstvo,Žilinský,Turčianske Teplice
"Kardiologická ambulancia, Turčianske Teplice, (INCARE, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/kardiologicka-ambulancia-turcianske-teplice-incare.html?page_id=128179, Kardiológia,Žilinský,Turčianske Teplice
"Ambulancia vnútorného lekárstva, Malý Čepčín, (VLADÁR, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/ambulancia-vnutorneho-lekarstva-maly-cepcin-vladar-s.-r.-o..html?page_id=120216, Vnútorné lekárstvo,Žilinský,Turčianske Teplice
"Oftalmologická ambulancia, Turčianske Teplice, (UVEA KLINIKA, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/oftalmologicka-ambulancia-turcianske-teplice-uvea-klinika.html?page_id=103413, Oftalmológia,Žilinský,Turčianske Teplice
"Kardiologická ambulancia, Turčianske Teplice, (Cor Center, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/turcianske-teplice/kardiologicka-ambulancia-turcianske-teplice-cor-center.html?page_id=89618, Kardiológia,Žilinský,Turčianske Teplice
