title,doctor_url,specialization,kraj,okres
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Tvrdošín, (B-Medical, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-tvrdosin-b-medical-s.-r.-o..html?page_id=143664," Diabetológia, poruchy látkovej premeny a výživy",Žilinský,Tvrdošín
"Všeobecná ambulancia pre deti a dorast, Liesek, (DALPS, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/vseobecna-ambulancia-pre-deti-a-dorast-liesek-dalps-s.-r.-o..html?page_id=143561, Pediatria,Žilinský,Tvrdošín
"Ambulancia čeľustnej ortopédie, Tvrdošín, (ALKOR - DENT s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-celustnej-ortopedie-tvrdosin-alkor-dent.html?page_id=143360, čeľustná ortopédia,Žilinský,Tvrdošín
"Urologická ambulancia, Trstená, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/urologicka-ambulancia-trstena-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=143195, Urológia,Žilinský,Tvrdošín
"Jednodňová zdravotná starostlivosť, urológia, Trstená, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/jednodnova-zdravotna-starostlivost-urologia-trstena-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=143196, Urológia,Žilinský,Tvrdošín
"Gastroenterologická ambulancia, MUDr. Daniel Šiška, Tvrdošín, (GITprax, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/gastroenterologicka-ambulancia-mudr.-daniel-siska-tvrdosin-gitprax.html?page_id=143108," Gastroenterológia, Abdominálna ultrasonografia u dospelých",Žilinský,Tvrdošín
"Ambulancia dentálnej hygieny, Tvrdošín, (Bc. Mariana Hartelová)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-dentalnej-hygieny-tvrdosin-bc.-mariana-hartelova.html?page_id=142045, Dentálna hygiena,Žilinský,Tvrdošín
"Gynekologická ambulancia, MUDr.Jana Kolejáková, Trstená, (E+T GYN, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/gynekologicka-ambulancia-mudr.jana-kolejakova-trstena-et-gyn.html?page_id=141747, Gynekológia a pôrodníctvo,Žilinský,Tvrdošín
"SVaLZ, rádiológia, Tvrdošín, (J&OP s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/svalz-radiologia-tvrdosin-jop.html?page_id=141670, Rádiológia,Žilinský,Tvrdošín
"Ambulancia zubného lekárstva, Trstená, (Horňákdent, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-zubneho-lekarstva-trstena-hornakdent-s.-r.-o..html?page_id=141668, Zubné lekárstvo,Žilinský,Tvrdošín
