title,doctor_url,specialization,kraj,okres
"Ambulancia pediatrickej pneumológie a ftizeológie, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/ambulancia-pediatrickej-pneumologie-a-ftizeologie-cadca-kysucka-nemocnica-s-poliklinikou-cadca.html?page_id=143733,!,Žilinský,Čadca
"Ambulancia klinickej imunológie a alergológie, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/ambulancia-klinickej-imunologie-a-alergologie-cadca-kysucka-nemocnica-s-poliklinikou-cadca.html?page_id=143732,!,Žilinský,Čadca
"Neurologická ambulancia, MUDr. Petra Žovinová, Krásno nad Kysucou, (PENEA s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/neurologicka-ambulancia-mudr.-petra-zovinova-krasno-nad-kysucou-penea-s.-r.-o..html?page_id=143387, Neurológia,Žilinský,Čadca
"Gynekologická ambulancia, Turzovka, (GynDar, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/gynekologicka-ambulancia-turzovka-gyndar-s.-r.-o..html?page_id=143382, Gynekológia a pôrodníctvo,Žilinský,Čadca
"Gynekologická ambulancia, Turzovka, (REHÁKOVCI, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/gynekologicka-ambulancia-turzovka-rehakovci.html?page_id=143305, Gynekológia a pôrodníctvo,Žilinský,Čadca
"Ambulancia vnútorného lekárstva, Čadca, (Štefancová s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/ambulancia-vnutorneho-lekarstva-cadca-stefancova.html?page_id=142641, Vnútorné lekárstvo,Žilinský,Čadca
"SVaLZ, fyzioterapia, Krásno nad Kysucou, (Mgr. Kristián Michalec - FYZIO KM)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/svalz-fyzioterapia-krasno-nad-kysucou-mgr.-kristian-michalec-fyzio-km.html?page_id=142635, Fyzioterapia,Žilinský,Čadca
"Všeobecná ambulancia pre dospelých, Oščadnica, (MEDMEDICAL KLINIK a. s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/vseobecna-ambulancia-pre-dospelych-oscadnica-medmedical-klinik-a.-s..html?page_id=142495, Všeobecné lekárstvo,Žilinský,Čadca
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Oščadnica, (MEDMEDICAL KLINIK a. s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-oscadnica-medmedical-klinik-a.-s..html?page_id=142496," Fyziatria, balneológia a liečebná rehabilitácia",Žilinský,Čadca
"Ortopedická ambulancia, Oščadnica, (MEDMEDICAL KLINIK a. s.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/cadca/ortopedicka-ambulancia-oscadnica-medmedical-klinik-a.-s..html?page_id=142493, Ortopédia,Žilinský,Čadca
