title,doctor_url,specialization,kraj,okres
"Ambulancia poradenskej psychológie, Žilina, (PSPsycho s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-poradenskej-psychologie-zilina-pspsycho-s.-r.-o..html?page_id=143735," Poradenská psychológia, Dopravná psychológia",Žilinský,Žilina
"Ambulancia pracovnej a organizačnej psychológie, Žilina, (PSPsycho s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-pracovnej-a-organizacnej-psychologie-zilina-pspsycho-s.-r.-o..html?page_id=143736, Pracovná a organizačná psychológia,Žilinský,Žilina
"ADOS, Vojtecha Spanyola, Žilina, (ADOS-MAJBÍKOVÁD, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ados-vojtecha-spanyola-zilina-ados-majbikovad-s.-r.-o..html?page_id=143662, Domáca ošetrovateľská starostlivosť,Žilinský,Žilina
"Ambulancia liečebnej pedagogiky, Žilina, (Dialóg spol. s r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-liecebnej-pedagogiky-zilina-dialog-spol.-s-r.o..html?page_id=143569, Liečebná pedagogika,Žilinský,Žilina
"Ambulancia čeľustnej ortopédie, Žilina, (MDDr. Peter Dírer s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-celustnej-ortopedie-zilina-mddr.-peter-direr-s.-r.-o..html?page_id=143506, čeľustná ortopédia,Žilinský,Žilina
"Všeobecná ambulancia pre dospelých, Rajec, (APL ANAJ s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/vseobecna-ambulancia-pre-dospelych-rajec-apl-anaj.html?page_id=143504, Všeobecné lekárstvo,Žilinský,Žilina
"Gynekologická ambulancia, Žilina, (MEDIVASA, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/gynekologicka-ambulancia-zilina-medivasa.html?page_id=143423, Gynekológia a pôrodníctvo,Žilinský,Žilina
"Ambulancia pracovného lekárstva, Teplička nad Váhom, (Pro Benefit s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-pracovneho-lekarstva-teplicka-nad-vahom-pro-benefit.html?page_id=143331, Pracovné lekárstvo,Žilinský,Žilina
"Ambulancia pediatrickej gynekológie, Terchová, (VIŠŇOVSKÍ, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-pediatrickej-gynekologie-terchova-visnovski.html?page_id=143131, Pediatrická gynekológia,Žilinský,Žilina
"Gynekologická ambulancia, Terchová, (VIŠŇOVSKÍ, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/gynekologicka-ambulancia-terchova-visnovski.html?page_id=143132, Gynekológia a pôrodníctvo,Žilinský,Žilina
"Všeobecná ambulancia pre deti a dorast, MUDr. Lenka Staníková, Žilina, (Fakultná nemocnica s poliklinikou Žilina)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-lenka-stanikova-zilina-fakultna-nemocnica-s-poliklinikou-zilina.html?page_id=143106, Pediatria,Žilinský,Žilina
"Všeobecná ambulancia pre dospelých, MUDr. Dagmar Sudeková, Žilina, (Fakultná nemocnica s poliklinikou Žilina)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/vseobecna-ambulancia-pre-dospelych-mudr.-dagmar-sudekova-zilina-fakultna-nemocnica-s-poliklinikou-zilina.html?page_id=143107, Všeobecné lekárstvo,Žilinský,Žilina
"Ambulancia telovýchovného lekárstva, Žilina, (MAFA s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-telovychovneho-lekarstva-zilina-mafa.html?page_id=142701, Telovýchovné lekárstvo,Žilinský,Žilina
"Urologická ambulancia, Žilina, (Urral, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/urologicka-ambulancia-zilina-urral-s.-r.-o..html?page_id=142639, Urológia,Žilinský,Žilina
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Žilina, (MUDr. Marián Dupkala)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-zilina-mudr.-marian-dupkala.html?page_id=142637," Fyziatria, balneológia a liečebná rehabilitácia",Žilinský,Žilina
"Všeobecná ambulancia pre deti a dorast, Lietavská Lúčka, (ALROKA s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/vseobecna-ambulancia-pre-deti-a-dorast-lietavska-lucka-alroka.html?page_id=142633, Všeobecná starostlivosť o deti a dorast,Žilinský,Žilina
"Ambulancia zubného lekárstva, Rajec, (RAJ-DENT s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/ambulancia-zubneho-lekarstva-rajec-raj-dent.html?page_id=142451, Zubné lekárstvo,Žilinský,Žilina
"Všeobecná ambulancia pre deti a dorast, MUDr. Lucia Filipová, Žilina, (Pediater ZA s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-lucia-filipova-zilina-pediater-za.html?page_id=142447, Všeobecná starostlivosť o deti a dorast,Žilinský,Žilina
"Gynekologická ambulancia, Žilina, (Pelvisana s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zilina/gynekologicka-ambulancia-zilina-pelvisana.html?page_id=142449," Gynekológia a pôrodníctvo, Gynekologická urológia, Ultrazvuk v gynekológii a pôrodníctve",Žilinský,Žilina
