title,doctor_url,specialization,kraj,okres,pediater,kraj_id,okres_id
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (La Pediatra s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/vseobecna-ambulancia-pre-deti-a-dorast-bratislava-stare-mesto-la-pediatra.html?page_id=142516, Pediatria,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia detskej psychiatrie, Bratislava-Staré Mesto, (Klinika duševného zdravia, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-detskej-psychiatrie-bratislava-stare-mesto-klinika-dusevneho-zdravia.html?page_id=140583, Detská psychiatria,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia rýchlej lekárskej pomoci, Bratislava - Staré Mesto 1, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-rychlej-lekarskej-pomoci-bratislava-stare-mesto-1-zachranna-zdravotna-sluzba-bratislava.html?page_id=132601, Rýchla lekárska pomoc,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia rýchlej zdravotnej pomoci, Bratislava - Staré Mesto 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-rychlej-zdravotnej-pomoci-bratislava-stare-mesto-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=132118, Rýchla zdravotná pomoc,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-hasicskeho-zachranneho-zboru-radlinskeho-bratislava-stare-mesto-ministerstvo-vnutra-slovenskej-republiky-1.html?page_id=131667, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-hasicskeho-zachranneho-zboru-radlinskeho-bratislava-stare-mesto-ministerstvo-vnutra-slovenskej-republiky.html?page_id=131668, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (PEDIATCARE s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=128376, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia pediatrickej hematológie a onkológie, Bratislava-Staré Mesto, (Univerzitná nemocnica Bratislava)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=125877, Pediatrická hematológia a onkológia,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (EPIKA s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=120791, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MEDJUR s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=92854, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
