title,doctor_url,specialization,kraj,okres,pediater,kraj_id,okres_id,doctor_id,info,open_hours,lat,lng
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (La Pediatra s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/vseobecna-ambulancia-pre-deti-a-dorast-bratislava-stare-mesto-la-pediatra.html?page_id=142516, Pediatria,Bratislavsky Kraj,Bratislava 1,1,1,3,61-54051363-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-54051363-A0001', 'Odborné zameranie': 'pediatria', 'Miesto prevádzkovania': 'prízemie, samostatný trakt, m.č. 2.2a\nPoliklinika Mýtna\nMýtna\n2886/5\n81107\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'La Pediatra s.r.o.\nMýtna\n2886/5\n81107\nBratislava - mestská časť Staré Mesto\nIČO: 54051363'}","Poskytovateľ platnosť od: 01.10.2022
Pondelok: 8:00-15:00  ||12:00-15:008-12 hod CHORÍ pacienti , 12-15 hod prevencie , novorodenecke návštevy
Utorok: 8:00-16:00  ||12:00-16:008 - 12,00 hod prevencie, 12 - 16 hod CHORÍ pacienti
Streda: 8:00-16:00  ||12:00-16:008 -12 hod CHORÍ pacienti,12 - 15 hod prevencie, novorodenecké návštevy
Štvrtok: 8:00-15:00  ||12:00-15:008 - 12 hod CHORÍ pacienti, 12-15 hod prevencie, novorodenecké návštevy
Piatok: 8:00-13:30  ||12:00-13:308 -12 hod CHORÍ pacienti,12 - 13,30 hod prevencie
Sobota: neordinuje
Nedeľa: neordinuje
Nedeľa: platnosť od: 03.03.2022do: 30.09.2022
Pondelok: 8:00-15:00
Utorok: 8:00-16:00
Streda: 8:00-16:00
Štvrtok: 8:00-15:00
Piatok: 8:00-13:30
Sobota: neordinuje
Nedeľa: neordinuje",48.1546935,17.1159519
"Ambulancia detskej psychiatrie, Bratislava-Staré Mesto, (Klinika duševného zdravia, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-detskej-psychiatrie-bratislava-stare-mesto-klinika-dusevneho-zdravia.html?page_id=140583, Detská psychiatria,Bratislavsky Kraj,Bratislava 1,1,1,3,61-53545940-A0002,"{'Druh zariadenia': 'ambulancia detskej psychiatrie', 'Identifikátor': '61-53545940-A0002', 'Odborné zameranie': 'detská psychiatria', 'Miesto prevádzkovania': 'm.č. 6\nZochova\n754/6 - 8\n81103\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Klinika duševného zdravia, s.r.o.\nZochova\n6-8\n81109\nBratislava - mestská časť Staré Mesto\nIČO: 53545940'}","Poskytovateľ platnosť od: 01.06.2021
Pondelok: 7:00-12:00
Utorok: 15:00-18:00
Streda: 7:00-12:00
Štvrtok: 7:00-12:00  ||13:00-17:00
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje",48.1459930,17.1025367
"Ambulancia rýchlej lekárskej pomoci, Bratislava - Staré Mesto 1, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-rychlej-lekarskej-pomoci-bratislava-stare-mesto-1-zachranna-zdravotna-sluzba-bratislava.html?page_id=132601, Rýchla lekárska pomoc,Bratislavsky Kraj,Bratislava 1,1,1,3,72-17336210-A0041,"{'Druh zariadenia': 'ambulancia rýchlej lekárskej pomoci', 'Identifikátor': '72-17336210-A0041', 'Odborné zameranie': 'rýchla lekárska pomoc', 'Miesto prevádzkovania': '1\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Záchranná zdravotná služba Bratislava\nAntolská\n3360/11\n85007\nBratislava - mestská časť Petržalka\nIČO: 17336210\nwww.emergency-ba.sk'}",,48.1485965,17.1077477
"Ambulancia rýchlej zdravotnej pomoci, Bratislava - Staré Mesto 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-rychlej-zdravotnej-pomoci-bratislava-stare-mesto-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=132118, Rýchla zdravotná pomoc,Bratislavsky Kraj,Bratislava 1,1,1,3,72-17336210-A0197,"{'Druh zariadenia': 'ambulancia rýchlej zdravotnej pomoci', 'Identifikátor': '72-17336210-A0197', 'Odborné zameranie': 'rýchla zdravotná pomoc', 'Miesto prevádzkovania': '2\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Záchranná zdravotná služba Bratislava\nAntolská\n3360/11\n85007\nBratislava - mestská časť Petržalka\nIČO: 17336210\nwww.emergency-ba.sk'}",,48.1485965,17.1077477
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-hasicskeho-zachranneho-zboru-radlinskeho-bratislava-stare-mesto-ministerstvo-vnutra-slovenskej-republiky-1.html?page_id=131667, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3,51-00151866-A0053,"{'Druh zariadenia': 'špecializovaná ambulancia Hasičského záchranného zboru', 'Identifikátor': '51-00151866-A0053', 'Odborné zameranie': 'urgentná medicína', 'Miesto prevádzkovania': 'Radlinského\n2791/6\n81107\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Ministerstvo vnútra Slovenskej republiky\nPribinova\n2\n81272\nBratislava - mestská časť Staré Mesto\nIČO: 00151866\nwww.minv.sk'}",,48.1501518,17.1148218
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-hasicskeho-zachranneho-zboru-radlinskeho-bratislava-stare-mesto-ministerstvo-vnutra-slovenskej-republiky.html?page_id=131668, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3,51-00151866-A0054,"{'Druh zariadenia': 'špecializovaná ambulancia Hasičského záchranného zboru', 'Identifikátor': '51-00151866-A0054', 'Odborné zameranie': 'urgentná medicína', 'Miesto prevádzkovania': 'Radlinského\n2791/6\n81107\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Ministerstvo vnútra Slovenskej republiky\nPribinova\n2\n81272\nBratislava - mestská časť Staré Mesto\nIČO: 00151866\nwww.minv.sk'}",,48.1501518,17.1148218
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (PEDIATCARE s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=128376, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-51484081-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-51484081-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': 'prízemie, m.č. 3, 3A\nPoliklinika Mýtna\nMýtna\n2886/5\n81107\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'PEDIATCARE s.r.o.\nMýtna\n2886/5\n81107\nBratislava - mestská časť Staré Mesto\nIČO: 51484081'}","Poskytovateľ platnosť od: 04.11.2019
Poskytovateľ zmena ordinačných hodín: PEDIATCARE s.r.o.od4.11. 2019
Pondelok: 8:00-14:00  ||14:30-17:00 od 14.30 -17 .00novorod. návštevy po obj.
Utorok: 8:00-15:00  ||0:00-0:00
Streda: 8:00-14:00  ||14:30-17:00 od 14.30 -17 .00novorod. návštevy po obj.
Štvrtok: 11:00-16:00
Piatok: 8:00-14:00
Sobota: neordinuje
Nedeľa: neordinuje
Nedeľa: odberysa robia každý deň od 7.30 hod, okrem štvrku.",48.1546935,17.1159519
"Ambulancia pediatrickej hematológie a onkológie, Bratislava-Staré Mesto, (Univerzitná nemocnica Bratislava)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=125877, Pediatrická hematológia a onkológia,Bratislavsky Kraj,Bratislava 1,1,1,3,51-31813861-A0488,"{'Druh zariadenia': 'ambulancia pediatrickej hematológie a onkológie', 'Identifikátor': '51-31813861-A0488', 'Odborné zameranie': 'pediatrická hematológia a onkológia', 'Miesto prevádzkovania': 'Nemocnica Staré mesto\nMickiewiczova\n13\n81301\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Univerzitná nemocnica Bratislava\nPažítková\n4\n82104\nBratislava - mestská časť Ružinov\nIČO: 31813861\nwww.unb.sk'}",,48.1504965,17.1169481
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (EPIKA s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=120791, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-50365908-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-50365908-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': '1. NP, m.č. 1, 1A\nPoliklinika Mýtna\nMýtna\n5\n81107\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'EPIKA s. r. o.\nMýtna\n5\n81107\nBratislava - mestská časť Staré Mesto\nIČO: 50365908', 'Email': 'k.simovicova@slovanet.sk'}","Email platnosť od: 22.07.2020
Pondelok: 8:00-15:00
Utorok: 8:00-15:30
Streda: 9:00-17:00
Štvrtok: 8:00-15:30
Piatok: 8:00-15:30
Sobota: neordinuje
Nedeľa: neordinuje",48.1546933,17.1159631
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MEDJUR s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=92854, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-47552131-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-47552131-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': '3. NP nebytového objektu, m.č. 2.9\nCintorínska\n3/b\n81108\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'MEDJUR s.r.o.\nVsetínska\n6/1008\n06401\nStará Ľubovňa\nIČO: 47552131', 'Telefón': '0918329609'}","Telefón platnosť od: 01.11.2017
Pondelok: 7:00-12:30  ||13:00-15:30
Utorok: 7:00-12:30  ||13:00-15:30
Streda: 7:00-12:30  ||13:00-15:30
Štvrtok: 7:00-12:30  ||13:00-14:30
Piatok: 7:00-11:00
Sobota: neordinuje
Nedeľa: neordinuje",48.1461322,17.1159545
