doctor_id,info,open_hours,lat,lng,adresa,title,doctor_url,specialization,kraj,okres,pediater,kraj_id,okres_id
65-54554292-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '65-54554292-A0001', 'Odborné zameranie': 'pediatria', 'Miesto prevádzkovania': 'Michalská časť\n442/26\n02712\nLiesek', 'Poisťovne': '', 'Poskytovateľ': 'DALPS, s. r. o.\nDolná\n506/11\n02712\nLiesek\nIČO: 54554292', 'Email': 'doktorkapredeti@gmail.com', 'Mobil': '+421 915 089 900'}","Mobil platnosť od: 15.08.2022
Pondelok: 6:30-14:30
Utorok: 7:00-15:00
Streda: 7:00-15:00
Štvrtok: 7:00-15:00
Piatok: 6:30-12:30
Sobota: neordinuje
Nedeľa: neordinuje",49.3605610,19.6759406,"Michalská časť
442/26
02712
Liesek","Všeobecná ambulancia pre deti a dorast, Liesek, (DALPS, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/vseobecna-ambulancia-pre-deti-a-dorast-liesek-dalps-s.-r.-o..html?page_id=143561, Pediatria,Žilinský,Tvrdošín,1,7,69
72-17336210-A0299,"{'Druh zariadenia': 'ambulancia rýchlej zdravotnej pomoci', 'Identifikátor': '72-17336210-A0299', 'Odborné zameranie': 'rýchla zdravotná pomoc', 'Miesto prevádzkovania': '0\nZuberec', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Záchranná zdravotná služba Bratislava\nAntolská\n3360/11\n85007\nBratislava - mestská časť Petržalka\nIČO: 17336210\nwww.emergency-ba.sk'}",,49.2605158,19.6143790,"0
Zuberec","Ambulancia rýchlej zdravotnej pomoci, Zuberec, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-zdravotnej-pomoci-zuberec-zachranna-zdravotna-sluzba-bratislava.html?page_id=134926, Rýchla zdravotná pomoc,Žilinský,Tvrdošín,1,7,69
72-00634891-A0215,"{'Druh zariadenia': 'ambulancia rýchlej zdravotnej pomoci', 'Identifikátor': '72-00634891-A0215', 'Odborné zameranie': 'rýchla zdravotná pomoc', 'Miesto prevádzkovania': '0\nNižná', 'Poisťovne': '', 'Poskytovateľ': 'Hornooravská nemocnica s poliklinikou Trstená\nMieru\n549/16\n02801\nTrstená\nIČO: 00634891\nwww.nsptrstena.sk'}",,49.3108924,19.5211221,"0
Nižná","Ambulancia rýchlej zdravotnej pomoci, Nižná nad Oravou, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-zdravotnej-pomoci-nizna-nad-oravou-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=134773, Rýchla zdravotná pomoc,Žilinský,Tvrdošín,1,7,69
72-17336210-A0021,"{'Druh zariadenia': 'ambulancia rýchlej lekárskej pomoci', 'Identifikátor': '72-17336210-A0021', 'Odborné zameranie': 'rýchla lekárska pomoc', 'Miesto prevádzkovania': '0\nTrstená', 'Poisťovne': '', 'Poskytovateľ': 'Záchranná zdravotná služba Bratislava\nAntolská\n3360/11\n85007\nBratislava - mestská časť Petržalka\nIČO: 17336210\nwww.emergency-ba.sk'}",,49.3598544,19.6106129,"0
Trstená","Ambulancia rýchlej lekárskej pomoci, Trstená, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-lekarskej-pomoci-trstena-zachranna-zdravotna-sluzba-bratislava.html?page_id=132539, Rýchla lekárska pomoc,Žilinský,Tvrdošín,1,7,69
65-00634891-A0068,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '65-00634891-A0068', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Lekári sestry': 'MUDr. Ľubomíra Šebová (lekár)\nMUDr. Miloš Laššák (lekár)', 'Miesto prevádzkovania': 'Mieru\n549/16\n02801\nTrstená', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Hornooravská nemocnica s poliklinikou Trstená\nMieru\n549/16\n02801\nTrstená\nIČO: 00634891\nwww.nsptrstena.sk'}","Poskytovateľ platnosť od: 01.04.2019
Pondelok: 7:00-12:00  ||12:30-15:30
Utorok: 7:00-12:00  ||12:30-15:30
Streda: 7:00-12:00  ||12:30-15:30
Štvrtok: 7:00-12:00  ||12:30-15:30
Piatok: 7:00-12:00  ||12:30-15:30
Sobota: neordinuje
Nedeľa: neordinuje",49.3580167,19.6014858,"Mieru
549/16
02801
Trstená","Všeobecná ambulancia pre deti a dorast, MUDr. Ľubomíra Šebová, Trstená, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-lubomira-sebova-trstena-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=130695, Všeobecná starostlivosť o deti a dorast,Žilinský,Tvrdošín,1,7,69
65-50597469-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '65-50597469-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': 'Bernolákova\n24/18\n02801\nTrstená', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'MUDr. ŠTEVULIAKOVÁ,  s.r.o.\nČimhová\n147\n02712\nČimhová\nIČO: 50597469', 'Telefón': '+421 435393221'}","Telefón platnosť od: 01.01.2017
Pondelok: 7:00-12:00  ||12:30-15:30
Utorok: 7:00-12:00  ||12:30-15:30
Streda: 7:00-12:00  ||12:30-15:30
Štvrtok: 7:00-12:00  ||12:30-15:30
Piatok: 7:00-12:00  ||12:30-15:30
Sobota: neordinuje
Nedeľa: neordinuje",49.3596779,19.6064794,"Bernolákova
24/18
02801
Trstená","Všeobecná ambulancia pre deti a dorast, Trstená, (MUDr. ŠTEVULIAKOVÁ,  s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/vseobecna-ambulancia-pre-deti-a-dorast-trstena-mudr.-stevuliakova.html?page_id=120464, Všeobecná starostlivosť o deti a dorast,Žilinský,Tvrdošín,1,7,69
65-45360049-A0005,"{'Druh zariadenia': 'ambulancia pediatrickej gastroenterológie, hepatológie a výživy', 'Identifikátor': '65-45360049-A0005', 'Odborné zameranie': 'pediatrická gastroenterológia, hepatológia a výživa\ndorastové lekárstvo', 'Lekári sestry': 'MUDr. Andrea Klabníková (lekár)\nAnna Jarinová (sestra)\nMgr. Viera Hlušáková (sestra)', 'Miesto prevádzkovania': 'Školská\n234\n02744\nTvrdošín', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Oralek, s.r.o.\nStodolisko\n95/16\n02732\nHabovka\nIČO: 45360049\nwww.oralek.sk', 'Telefón': '+421 435322537'}","Telefón platnosť od: 01.11.2017
Pondelok: neordinuje
Utorok: 12:00-18:00
Streda: neordinuje
Štvrtok: 7:00-9:00
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje",49.3467761,19.5496118,"Školská
234
02744
Tvrdošín","Ambulancia pediatrickej gastroenterológie, hepatológie a výživy, MUDr. Andrea Klabníková, Tvrdošín, (Oralek, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-pediatrickej-gastroenterologie-hepatologie-a-vyzivy-mudr.-andrea-klabnikova-tvrdosin-oralek.html?page_id=105699," Pediatrická gastroenterológia, hepatológia a výživa, Dorastové lekárstvo",Žilinský,Tvrdošín,1,7,69
65-00634891-A0062,"{'Druh zariadenia': 'ambulancia pediatrickej nefrológie', 'Identifikátor': '65-00634891-A0062', 'Odborné zameranie': 'pediatrická nefrológia', 'Lekári sestry': 'MUDr. Daniela Kubešová (lekár)', 'Miesto prevádzkovania': 'Mieru\n549/16\n02801\nTrstená', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Hornooravská nemocnica s poliklinikou Trstená\nMieru\n549/16\n02801\nTrstená\nIČO: 00634891\nwww.nsptrstena.sk', 'Telefón': '+421 435307237'}","Telefón platnosť od: 23.03.2022
Pondelok: neordinuje
Utorok: 7:00-12:00  ||12:30-14:30
Streda: 7:00-12:00  ||12:30-14:30
Štvrtok: 7:00-12:00  ||12:30-13:30
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje
Nedeľa: Objednávanie pacientov: utorok a štvrtok od 08:00 - 12:00 hod
na t.č. +421435307264",49.3580167,19.6014858,"Mieru
549/16
02801
Trstená","Ambulancia pediatrickej nefrológie, MUDr. Daniela Kubešová, Trstená, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-pediatrickej-nefrologie-mudr.-daniela-kubesova-trstena-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=77718, Pediatrická nefrológia,Žilinský,Tvrdošín,1,7,69
65-00634891-A0061,"{'Druh zariadenia': 'pediatrická ambulancia', 'Identifikátor': '65-00634891-A0061', 'Odborné zameranie': 'pediatria', 'Lekári sestry': 'MUDr. Miloš  Laššák\nMUDr. Ivana Matejková (lekár)', 'Miesto prevádzkovania': 'Mieru\n549/16\n02801\nTrstená', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Hornooravská nemocnica s poliklinikou Trstená\nMieru\n549/16\n02801\nTrstená\nIČO: 00634891\nwww.nsptrstena.sk', 'Telefón': '+421 435307237'}","Telefón platnosť od: 01.01.2019
Telefón Pediatrická ambulancia
Pondelok: 8:00-12:00
Utorok: 8:00-12:00
Streda: 8:00-12:00
Štvrtok: 8:00-12:00
Piatok: 8:00-12:00
Sobota: neordinuje
Nedeľa: neordinuje",49.3580167,19.6014858,"Mieru
549/16
02801
Trstená","Pediatrická ambulancia, MUDr. Ivana Matejková, Trstená, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/pediatricka-ambulancia-mudr.-ivana-matejkova-trstena-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=76591, Pediatria,Žilinský,Tvrdošín,1,7,69
65-36673200-A0002,"{'Druh zariadenia': 'ambulancia pediatrickej urológie', 'Identifikátor': '65-36673200-A0002', 'Odborné zameranie': 'pediatrická urológia', 'Miesto prevádzkovania': 'Mieru\n549/16\n02801\nTrstená', 'Poisťovne': '', 'Poskytovateľ': 'Urológia Orava, s.r.o.\nV.Šípoša\n7\n03601\nMartin\nIČO: 36673200'}","Poskytovateľ platnosť od: 11.10.2018
Pondelok: 7:00-12:30  ||13:00-15:30v rámci ordinačných hodín sú ošetrovaní pacienti - deti, dospelí.
Utorok: neordinuje
Streda: neordinuje
Štvrtok: neordinuje
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje",49.3580167,19.6014858,"Mieru
549/16
02801
Trstená","Ambulancia pediatrickej urológie, Trstená, (Urológia Orava, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-pediatrickej-urologie-trstena-urologia-orava.html?page_id=75195, Pediatrická urológia,Žilinský,Tvrdošín,1,7,69
