doctor_id,info,open_hours,lat,lng,adresa,title,doctor_url,kraj_id,okres,okres_id
65-53467744-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-53467744-A0001', 'Miesto prevádzkovania': 'Štefánikova\n217/1\n01401\nBytča', 'Email': 'centa40@gmail.com', 'Telefón': '041 2289136', 'Prevádzkovateľ': 'SK Pharmacy, s.r.o.\nŠtefánikova\n217\n81105\nBytča\nIČO: 53467744'}","Prevádzkovateľ platnosť od: 08.07.2021
Pondelok: 7:30-16:00
Utorok: 7:30-16:00
Streda: 7:30-16:00
Štvrtok: 7:30-16:00
Piatok: 7:30-16:00
Sobota: zatvorené
Nedeľa: zatvorené",49.2206971,18.5589597,"Štefánikova
217/1
01401
Bytča",Lekáreň CENTA,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-centa.html?page_id=141308,7,Bytča,9
65-51949113-A0001,"{'Druh': 'Výdajňa zdravotníckych pomôcok', 'Identifikátor': '65-51949113-A0001', 'Miesto prevádzkovania': 'Sidónie Sakalovej\n161/45\n01401\nBytča', 'Mobil': '0908527154', 'Email': 'medisamel@gmail.com', 'Prevádzkovateľ': 'Medisamel, s.r.o.\nSidónie Sakalovej\n161\n01401\nBytča\nIČO: 51949113'}","Prevádzkovateľ platnosť od: 02.03.2020
Pondelok: 7:30-14:30
Utorok: 10:00-14:30
Streda: 7:30-14:30
Štvrtok: 7:30-14:30
Piatok: 7:30-14:30
Sobota: zatvorené
Nedeľa: zatvorené",49.2200285,18.5608164,"Sidónie Sakalovej
161/45
01401
Bytča","Výdajňa zdravotníckych pomôcok Medisamel, s.r.o.",https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/vydajna-zdravotnickych-pomocok-medisamel.html?page_id=132180,7,Bytča,9
65-50735047-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-50735047-A0001', 'Miesto prevádzkovania': 'Zdravotné stredisko\n165\n01355\nŠtiavnik', 'Mobil': '+421 918926944', 'Email': 'stiavnik@tilialekaren.sk', 'Prevádzkovateľ': 'TILIALS 2 s.r.o.\nDedovec\n1818/336\n01701\nPovažská Bystrica\nIČO: 50735047'}","Prevádzkovateľ platnosť od: 01.07.2019
Pondelok: 8:00-13:00
Utorok: 8:00-13:00
Streda: 8:00-13:00
Štvrtok: 8:00-13:00
Piatok: 8:00-13:00
Sobota: zatvorené
Nedeľa: zatvorené",49.2430730,18.4658647,"Zdravotné stredisko
165
01355
Štiavnik",TÍLIA,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/tilia.html?page_id=131350,7,Bytča,9
65-47781106-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-47781106-A0001', 'Miesto prevádzkovania': 'Hviezdoslavova\n300\n01401\nBytča', 'Mobil': '+421 901961258', 'Prevádzkovateľ': 'Dr.Max 74 s.r.o.\nMoldavská cesta\n8/A\n04011\nTurňa nad Bodvou\nIČO: 47781106'}","Prevádzkovateľ platnosť od: 11.10.2016
Pondelok: 7:00-17:00
Utorok: 7:00-17:00
Streda: 7:00-17:00
Štvrtok: 7:00-17:00
Piatok: 7:00-17:00
Sobota: zatvorené
Nedeľa: zatvorené",49.2215070,18.5641346,"Hviezdoslavova
300
01401
Bytča",Lekáreň Dr. Max,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-dr.-max-2.html?page_id=105055,7,Bytča,9
65-44222840-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-44222840-A0001', 'Miesto prevádzkovania': 'Sidónie Sakalovej\n161\n01401\nBytča', 'Telefón': '+421905399316', 'Prevádzkovateľ': 'Lekáreň POLIKLINIKA BYTČA s.r.o.\nVysokoškolákov\n33/B\n82105\nŽilina\nIČO: 44222840'}","Prevádzkovateľ platnosť od: 21.03.2022
Pondelok: 7:00-15:00
Utorok: 7:00-15:00
Streda: 7:00-15:00
Štvrtok: 7:00-15:00
Piatok: 7:00-15:00
Sobota: zatvorené
Nedeľa: zatvorené",49.22002840,18.56081630,"Sidónie Sakalovej
161
01401
Bytča",Lekáreň Poliklinika Bytča,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-poliklinika-bytca.html?page_id=89763,7,Bytča,9
65-47685361-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-47685361-A0001', 'Miesto prevádzkovania': 'Sidónie Sakalovej\n166\n01401\nBytča', 'Prevádzkovateľ': 'Dr.Max 64 s.r.o.\nMoldavská cesta\n8/A\n04011\nKošice - mestská časť Juh\nIČO: 47685361'}","Prevádzkovateľ platnosť od: 01.09.2014
Pondelok: 7:30-16:00
Utorok: 7:30-16:00
Streda: 7:30-16:00
Štvrtok: 7:30-16:00
Piatok: 7:30-16:00
Sobota: zatvorené
Nedeľa: zatvorené",49.2197730,18.5606083,"Sidónie Sakalovej
166
01401
Bytča",Lekáreň Dr. Max,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-dr.-max-1.html?page_id=65734,7,Bytča,9
65-47770660-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-47770660-A0001', 'Miesto prevádzkovania': 'Sidónie Sakalovej\n190\n01401\nBytča', 'Telefón': '+421 901961259', 'Prevádzkovateľ': 'Lekáreň Vitae plus, s. r. o.\nMoldavská cesta\n8/A\n01401\nTurňa nad Bodvou\nIČO: 47770660'}","Dočasná zmena od 4102022 do 4102022V čase od 1200 do 1530 hod bude otvorené pozrite pohotovostné lekárne v okrese Bytča platnosť od: 06.12.2016
Pondelok: 7:00-15:30
Utorok: 7:00-15:30
Streda: 7:00-15:30
Štvrtok: 7:00-15:30
Piatok: 7:00-15:30
Sobota: zatvorené
Nedeľa: zatvorené",49.2180721,18.5636852,"Sidónie Sakalovej
190
01401
Bytča",Lekáreň Dr. Max,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-dr.-max.html?page_id=65585,7,Bytča,9
65-47610565-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-47610565-A0001', 'Miesto prevádzkovania': 'Veľké Rovné\n72\n01362\nVeľké Rovné', 'Telefón': '+421 415410837', 'Web': 'lekarenusvatehomichala@gmail.com', 'Prevádzkovateľ': 'PHARMED, s.r.o.\nŠtúrova\n01001\nŽilina\nIČO: 47610565'}","Prevádzkovateľ platnosť od: 14.05.2014
Pondelok: 7:00-15:00
Utorok: 7:00-15:00
Streda: 7:00-15:00
Štvrtok: 7:00-15:00
Piatok: 7:00-15:00
Sobota: zatvorené
Nedeľa: zatvorené",49.2908939,18.5846474,"Veľké Rovné
72
01362
Veľké Rovné",Lekáreň Sv. Michala,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-sv.-michala.html?page_id=65111,7,Bytča,9
65-43774571-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-43774571-A0001', 'Miesto prevádzkovania': 'Sidónie Sakalovej\n151\n01401\nBytča', 'Telefón': '+421 415521325', 'Prevádzkovateľ': 'HACLO, s.r.o.\nVojtecha Spanyola\n8685\n01001\nŽilina\nIČO: 43774571'}","Prevádzkovateľ platnosť od: 27.02.2012
Pondelok: 7:30-17:00
Utorok: 7:30-17:00
Streda: 7:30-17:00
Štvrtok: 7:30-17:00
Piatok: 7:30-17:00
Sobota: 8:00-12:00
Nedeľa: zatvorené",49.22157300,18.55939670,"Sidónie Sakalovej
151
01401
Bytča",Lekáreň ZLATÝ OROL,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-zlaty-orol.html?page_id=3523,7,Bytča,9
65-36424838-A0001,"{'Druh': 'Verejná lekáreň', 'Identifikátor': '65-36424838-A0001', 'Miesto prevádzkovania': 'Nám. Slovenskej Republiky\n11\n01401\nBytča', 'Telefón': '+421 415523080', 'Prevádzkovateľ': 'PROPERTIA MEDICA, v.o.s.\nRepubliky\n1049/16\n01001\nŽilina\nIČO: 36424838'}","Prevádzkovateľ platnosť od: 17.09.2018
Pondelok: 7:30-16:00
Utorok: 7:30-16:00
Streda: 7:30-16:00
Štvrtok: 7:30-16:00
Piatok: 7:30-16:00
Sobota: 8:00-12:00
Nedeľa: zatvorené",49.2238620,18.5580567,"Nám. Slovenskej Republiky
11
01401
Bytča",Lekáreň NA NÁMESTÍ SR 11,https://www.e-vuc.sk/zsk/zdravotnictvo/lekarne-a-vydajne-zdravotnickych-pomocok/bytca/lekaren-na-namesti-sr-11.html?page_id=3424,7,Bytča,9
